state_code,lga_name,serial_no,imei1,imei2
TAR,SARDAUNA,RT7TITAN0012846,351260180254117,351260180254125
TAR,SARDAUNA,RT7TITAN0012867,351260180254539,351260180254547
TAR,SARDAUNA,RT7TITAN0012803,351260180253259,351260180253267
TAR,SARDAUNA,RT7TITAN0013228,351260180261757,351260180261765
TAR,SARDAUNA,RT7TITAN0013097,351260180259132,351260180259140
TAR,SARDAUNA,RT7TITAN0012900,351260180255197,351260180255205
TAR,SARDAUNA,RT7TITAN0013239,351260180261971,351260180261989
TAR,SARDAUNA,RT7TITAN0013143,351260180260056,351260180260064
TAR,SARDAUNA,RT7TITAN0013289,351260180262979,351260180262987
TAR,TAKUM,RT7TITAN0025257,351260180504339,351260180504349
TAR,TAKUM,RT7TITAN0025251,351260180504214,351260180504222
TAR,TAKUM,RT7TITAN0025337,351260180505930,351260180505948
TAR,TAKUM,RT7TITAN0025208,351260180503356,351260180503364
TAR,TAKUM,RT7TITAN0025110,351260180501392,351260180501400
TAR,TAKUM,RT7TITAN0024569,351260180490570,351260180490588
TAR,TAKUM,RT7TITAN0024584,351260180490877,351260180490885
TAR,TAKUM,RT7TITAN0025313,351260180505450,351260180505468
TAR,TAKUM,RT7TITAN0024268,351260180504552,351260180504560
TAR,TAKUM,RT7TITAN0023575,351260180468691,351260180468709
TAR,TAKUM,RT7TITAN0024510,351260180489390,351260180489408
TAR,USSA,RT7TITAN0023784,351260180472857,321260180472883
TAR,USSA,RT7TITAN0025163,351260180502457,351260180502465
TAR,USSA,RT7TITAN0023835,351260180473899,351260180473907
TAR,USSA,RT7TITAN0023477,351260180466737,351260180466745
TAR,USSA,RT7TITAN0023473,351260180466653,351260180466661
TAR,USSA,RT7TITAN0024838,351260180495959,351260180495967
TAR,USSA,RT7TITAN0023722,351260180471638,351260180471646
TAR,USSA,RT7TITAN0024618,351260180491552,351260180491560
TAR,USSA,RT7TITAN0023765,351260180472891,351260180472909
TAR,USSA,RT7TITAN0023499,351260180467172,351260180467180
TAR,USSA,RT7TITAN0023379,351260180464773,351260180464781
TAR,WUKARI,RT7TITAN0023866,351260180476512,351260180476512
TAR,WUKARI,RT7TITAN0024811,351260180495413,351260180495421
TAR,WUKARI,RT7TITAN0024287,351260180484938,351260180484946
TAR,WUKARI,RT7TITAN0023871,351260180476611,351260180476629
TAR,WUKARI,RT7TITAN0024758,351260180494358,351260180494366
TAR,WUKARI,RT7TITAN0024367,351260180486537,351260180486545
TAR,WUKARI,RT7TITAN0024058,351260180480357,351260180480365
TAR,WUKARI,RT7TITAN0023885,351260180476892,351260180476900
TAR,WUKARI,RT7TITAN0024347,351260180486131,351260180486149
TAR,WUKARI,RT7TITAN0023665,351260180470499,351260180470507
TAR,ZING,RT7TITAN0024314,351260180485471,351260180485489
TAR,ZING,RT7TITAN0023967,351260180478534,351260180478542
TAR,ZING,RT7TITAN0024414,351260180487477,351260180487485
TAR,ZING,RT7TITAN0023912,351260180477437,351260180477445
TAR,ZING,RT7TITAN0023876,351260180476710,351260180476728
TAR,ZING,RT7T1TAN0024237,351260180483930,351260180483948
TAR,ZING,RT7TITAN0023989,351260180478971,351260180478989
TAR,ZING,RT7TITAN0024380,351260180486792,351260180486800
TAR,ZING,RT7TITAN0024702,351260180493236,351260180493244
TAR,ZING,RT7TITAN0024693,351260180493053,351260180493061
TAR,YORRO,RT7TITAN0024968,351260180498557,351260180498565
TAR,YORRO,RT7TITAN0025200,351260180503190,351260180503208
TAR,YORRO,RT7TITAN0025060,351260180500394,351260180500402
TAR,YORRO,RT7TITAN0025105,351260180501293,351260180501301
TAR,YORRO,RT7TITAN0024670,351260180492592,351260180492600
TAR,YORRO,RT7TITAN0024620,351260180491594,351260180491602
TAR,YORRO,RT7TITAN0024615,351260180491495,351260180491503
TAR,YORRO,RT7TITAN0025115,351260180501491,351260180501509
TAR,YORRO,RT7TITAN0024503,351260180489259,351260180489267
TAR,YORRO,RT7TITAN0025182,351260180502838,351260180502846
TAR,YORRO,RT7TITAN0025194,351260180503075,351260180503083
TAR,LAU,RT7TITAN0012964,351260180256476,351260180256484
TAR,LAU,RT7TITAN0012854,351260180254273,351260180254281
TAR,LAU,RT7TITAN0012951,351260180256211,351260180256229
TAR,LAU,RT7TITAN0012689,351260180250974,351260180250982
TAR,LAU,RT7TITAN0012672,351260180250636,351260180250644
TAR,LAU,RT7TITAN0013030,351260180257797,351260180257805
TAR,LAU,RT7TITAN0012709,351260180251378,351260180251386
TAR,LAU,RT7TITAN0012946,351260180256112,351260180256120
TAR,LAU,RT7TITAN0011795,351260180233095,351260180233103
TAR,LAU,RT7TITAN0012733,351260180251857,351260180251865
